rank,name,song_id,song_name
1,Les Paul,960887238,How High The Moon
2,Bo Diddley,286901226,Road Runer
3,Duane Eddy,303080538,(Dance With The) Guitar Man
4,B. B. King,1014994564,The Thrill is Gone
5,Chuck Berry,1172893355,Maybelline
6,John Lee Hooker,1296003061,Boom Boom
7,Muddy Waters,198156220,I Can't Be Satisfied
8,Michael Bloomfield,288102700,Really
9,Jerry Garcia,1139067212,Sugaree
10,Peter Green,1144158828,A Fool No More
11,Carlos Santana,265816505,Smooth
12,Jorma Kaukonen,255280434,Genesis
13,Ron Wood,819171105,Seven Days
14,David Gilmour,1067444898,Comfortably Numb
15,Eric Clapton,14268600,Cocaine
16,George Harrison,401136642,Taxman
17,Duane Allman,1168088699,Rollin' Stone
18,Jeff Beck,158639553,Freeway Jam
19,Jimi Hendrix,344803162,All Along The Watchtower
20,Jimmy Page,580708180,Stairway To Heaven
21,Keith Richards ,1152242575,The Last Time
22,Pete Townshend,1434897600,Behind Blue Eyes
23,Ritchie Blackmore,1954302,Stargazer
24,Angus Young,574044008,Highway To Hell
25,Brian May,932648495,Killer Queen
26,Tony Iommi,298099932,Heaven And Hell
27,Mick Ronson,1039798921,The Man Who Sold The World
28,Ry Cooder,293846216,Feelin' Bad Blues
29,Frank Zappa,549928829,Dirty Love
30,Gary Moore,723403482,All Your Love
31,Joe Perry,457003287,Dream On
32,Neil Young,135132647,"Hey Hey, My My"
33,Robert Fripp,918534780,Moonchild
34,Rory Gallagher,1354757164,Bad Penny
35,Steve Hackett,1045612815,Supper's Ready
36,Alex Lifeson,659738231,Tom Sawyer
37,Steve Morse,274243359,Sometimes I Feel Like Screaming
38,Robbie Krieger,640047582,Love Me Two Times
39,Johnny Winter,209462061,Rock Me Baby
40,Steve Howe,279614969,The Golden Mean
41,Bruce Springsteen,203709340,Dancing In The Dark
42,Joe Satriani,157488350,Summer Song
43,Andy Summers,110869,So Lonely
44,Johnny Ramone,77817249,I Wanna Be Sedated
45,Prince,663586862,I'm Yours
46,Dave Mustaine,725812418,Symphony of Destruction
47,Michael Schenker,1143038980,Into The Arena
48,George Thorogood,674296097,The Sky Is Crying
49,Adrian Belew,345204276,Pretty Pink Rose
50,Mark Knopfler,302302110,What It Is
51,Steve Vai,216278338,Bad Horsie
52,Stevie Ray Vaughan,930563071,Scuttle Buttin'
53,The Edge,205155736,Mysterious Way
54,Eddie Van Halen,976820537,You Really Got Me
55,Yngwie Malmsteen,1954383,Black Star
56,Mick Jones,1220931027,"Blue Morning, Blue Day"
57,Richie Sambora,927237044,It's My Life
58,Slash,1377813701,Sweet Child O' Mine
59,Mike McCready,425465351,Black
60,Kurt Cobain,485495704,Smells Like Teen Spirit
61,Lenny Kravitz,723338326,Fly Away
62,Trent Reznor,1058189997,Head Like a Hole
63,John Frusciante,947701044,Otherside
64,Tom Morello,1240396400,Hail to The Chief
65,Kirk Hammett,579373086,Nothing Else Matters
66,Ben Harper,1098343774,Diamonds on the Inside
